#SampleID,region,site,year,host_species,host_type,survey_type,dna_extraction_plate,dna_extraction_well,growth,meso_quadrat_id,meso_shoot_id,meso_shoot_length,meso_shoot_width,meso_number_of_blades,meso_total_dry_wt,meso_blade_dry_wt,meso_microepiphyte_wt,meso_macroepiphyte_wt,meso_smithora_wt,meso_bryozoans,meso_quadrat_density,meso_quadrat_biomass,broken,smithora,ocean_id,mean_depth,ctd_depth,conductivity,temperature,Pressure,par,fluorometry_chlorophyll,turbidity,dissolved_oxygen,salinity,speed_of_sound,dissolved_oxygen_concentration,time_point,treatment,transplant_platform_destination_moved_to,blade_id,grazer_group,sterilized,band_quality,amount_dna,idotea_group,snail_type,shrimp_colour,collection_depth,Description
ZosGSWoldD16,goose,goose_southwest,2016,zostera_marina,zostera,meso_quadrats,sea3,D4,old,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southwest_zostera_marina
ZosGSWoldE16,goose,goose_southwest,2016,zostera_marina,zostera,meso_quadrats,sea3,E4,old,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southwest_zostera_marina
ZosGSWoldF16,goose,goose_southwest,2016,zostera_marina,zostera,meso_quadrats,sea3,F4,old,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southwest_zostera_marina
ZosGSWoldG16,goose,goose_southwest,2016,zostera_marina,zostera,meso_quadrats,sea3,G4,old,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southwest_zostera_marina
ZosGSWoldH16,goose,goose_southwest,2016,zostera_marina,zostera,meso_quadrats,sea3,H4,old,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,goose_southwest_zostera_marina
ZosMcNoldA16,mcmullins,mcmullin_n,2016,zostera_marina,zostera,meso_quadrats,plate6,49,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_n_zostera_marina
ZosMcNoldB16,mcmullins,mcmullin_n,2016,zostera_marina,zostera,meso_quadrats,plate6,59,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_n_zostera_marina
ZosMcNoldC16,mcmullins,mcmullin_n,2016,zostera_marina,zostera,meso_quadrats,plate6,54,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_n_zostera_marina
ZosMcNoldD16,mcmullins,mcmullin_n,2016,zostera_marina,zostera,meso_quadrats,plate6,46,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_n_zostera_marina
ZosMcNoldE16,mcmullins,mcmullin_n,2016,zostera_marina,zostera,meso_quadrats,plate6,51,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_n_zostera_marina
ZosMcNoldF16,mcmullins,mcmullin_n,2016,zostera_marina,zostera,meso_quadrats,plate6,64,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_n_zostera_marina
ZosMcSoldA16,mcmullins,mcmullin_s,2016,zostera_marina,zostera,meso_quadrats,plate6,53,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_s_zostera_marina
ZosMcSoldB16,mcmullins,mcmullin_s,2016,zostera_marina,zostera,meso_quadrats,plate6,57,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_s_zostera_marina
ZosMcSoldC16,mcmullins,mcmullin_s,2016,zostera_marina,zostera,meso_quadrats,plate6,67,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_s_zostera_marina
ZosMcSoldD16,mcmullins,mcmullin_s,2016,zostera_marina,zostera,meso_quadrats,plate6,68,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_s_zostera_marina
ZosMcSoldE16,mcmullins,mcmullin_s,2016,zostera_marina,zostera,meso_quadrats,plate6,69,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_s_zostera_marina
ZosMcSoldF16,mcmullins,mcmullin_s,2016,zostera_marina,zostera,meso_quadrats,plate6,50,old,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,mcmullin_s_zostera_marina
ZosPBPoldA16,pruth,pruth_pocket,2016,zostera_marina,zostera,meso_quadrats,sea3,A7,old,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_pocket_zostera_marina
ZosPBPoldB16,pruth,pruth_pocket,2016,zostera_marina,zostera,meso_quadrats,sea3,B7,old,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_pocket_zostera_marina
ZosPBPoldC16,pruth,pruth_pocket,2016,zostera_marina,zostera,meso_quadrats,sea3,C7,old,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_pocket_zostera_marina
ZosPBPoldD16,pruth,pruth_pocket,2016,zostera_marina,zostera,meso_quadrats,sea3,D7,old,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_pocket_zostera_marina
ZosPBPoldE16,pruth,pruth_pocket,2016,zostera_marina,zostera,meso_quadrats,sea3,E7,old,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_pocket_zostera_marina
ZosPBPoldF16,pruth,pruth_pocket,2016,zostera_marina,zostera,meso_quadrats,sea3,F7,old,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_pocket_zostera_marina
ZosPBPoldG16,pruth,pruth_pocket,2016,zostera_marina,zostera,meso_quadrats,sea3,G7,old,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_pocket_zostera_marina
ZosPBPoldH16,pruth,pruth_pocket,2016,zostera_marina,zostera,meso_quadrats,sea3,H7,old,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_pocket_zostera_marina
ZosPBSoldA16,pruth,pruth_baysouth,2016,zostera_marina,zostera,meso_quadrats,sea3,A8,old,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_baysouth_zostera_marina
ZosPBSoldB16,pruth,pruth_baysouth,2016,zostera_marina,zostera,meso_quadrats,sea3,B8,old,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_baysouth_zostera_marina
ZosPBSoldC16,pruth,pruth_baysouth,2016,zostera_marina,zostera,meso_quadrats,sea3,C8,old,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_baysouth_zostera_marina
ZosPBSoldD16,pruth,pruth_baysouth,2016,zostera_marina,zostera,meso_quadrats,sea3,D8,old,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_baysouth_zostera_marina
ZosPBSoldE16,pruth,pruth_baysouth,2016,zostera_marina,zostera,meso_quadrats,sea3,E8,old,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_baysouth_zostera_marina
ZosPBSoldF16,pruth,pruth_baysouth,2016,zostera_marina,zostera,meso_quadrats,sea3,F8,old,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_baysouth_zostera_marina
ZosPBSoldG16,pruth,pruth_baysouth,2016,zostera_marina,zostera,meso_quadrats,sea3,G8,old,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_baysouth_zostera_marina
ZosPBSoldH16,pruth,pruth_baysouth,2016,zostera_marina,zostera,meso_quadrats,sea3,H8,old,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pruth_baysouth_zostera_marina
ZosTQNoldA16,triquet,triquet_north,2016,zostera_marina,zostera,meso_quadrats,sea3,A5,old,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_north_zostera_marina
ZosTQNoldB16,triquet,triquet_north,2016,zostera_marina,zostera,meso_quadrats,sea3,B5,old,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_north_zostera_marina
ZosTQNoldC16,triquet,triquet_north,2016,zostera_marina,zostera,meso_quadrats,sea3,C5,old,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_north_zostera_marina
ZosTQNoldD16,triquet,triquet_north,2016,zostera_marina,zostera,meso_quadrats,sea3,D5,old,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_north_zostera_marina
ZosTQNoldE16,triquet,triquet_north,2016,zostera_marina,zostera,meso_quadrats,sea3,E5,old,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_north_zostera_marina
ZosTQNoldF16,triquet,triquet_north,2016,zostera_marina,zostera,meso_quadrats,sea3,F5,old,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_north_zostera_marina
ZosTQNoldG16,triquet,triquet_north,2016,zostera_marina,zostera,meso_quadrats,sea3,G5,old,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_north_zostera_marina
ZosTQNoldH16,triquet,triquet_north,2016,zostera_marina,zostera,meso_quadrats,sea3,H5,old,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_north_zostera_marina
ZosTQSoldA16,triquet,triquet_south,2016,zostera_marina,zostera,meso_quadrats,sea3,A6,old,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_south_zostera_marina
ZosTQSoldB16,triquet,triquet_south,2016,zostera_marina,zostera,meso_quadrats,sea3,B6,old,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_south_zostera_marina
ZosTQSoldC16,triquet,triquet_south,2016,zostera_marina,zostera,meso_quadrats,sea3,C6,old,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_south_zostera_marina
ZosTQSoldD16,triquet,triquet_south,2016,zostera_marina,zostera,meso_quadrats,sea3,D6,old,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_south_zostera_marina
ZosTQSoldE16,triquet,triquet_south,2016,zostera_marina,zostera,meso_quadrats,sea3,E6,old,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_south_zostera_marina
ZosTQSoldF16,triquet,triquet_south,2016,zostera_marina,zostera,meso_quadrats,sea3,F6,old,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_south_zostera_marina
ZosTQSoldG16,triquet,triquet_south,2016,zostera_marina,zostera,meso_quadrats,sea3,G6,old,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_south_zostera_marina
ZosTQSoldH16,triquet,triquet_south,2016,zostera_marina,zostera,meso_quadrats,sea3,H6,old,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,triquet_south_zostera_marina
