region,site,lat,long,depth..m..chart.datum.,bed_area_m2,date,year,depth,salinity,temperature,ph,X,quadrat_id,quadrat_shoot_density,quadrat_macroalgae_g,quadrat_lai,quadrat_biomass_g,quadrat_microepiphyte_mg,quadrat_detritus_g,quadrat,quadrat_year
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,123,7,9,0.0800000000000001,14.059008,7.64,86.3999999999992,0.53,goose_south_west_7,goose_south_west_7_2016
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,124,3,10,5.07,9.3696,5.68,208.000000000002,0.64,goose_south_west_3,goose_south_west_3_2016
goose,goose_south_west,51.922786,-128.464532,2.18,215570,2016-06-30,2016,2,26.1,14.4,NA,125,9,5,0.67,2.8752,8.78,112,0.83,goose_south_west_9,goose_south_west_9_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,72,1,6,1.37,6.624,7.01,165.599999999999,3.16,goose_south_east_1,goose_south_east_1_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,73,8,10,0,12.22144,10.69,228,2.72,goose_south_east_8,goose_south_east_8_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,74,9,13,0,12.849408,8.18,271.700000000001,1.52,goose_south_east_9,goose_south_east_9_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,75,5,9,0.36,5.46048,8.23,168.3,0.88,goose_south_east_5,goose_south_east_5_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,76,2,9,0.3,3.587328,3.76,113.399999999999,0.73,goose_south_east_2,goose_south_east_2_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,77,4,8,0.21,10.902528,3.48,213.6,3.06,goose_south_east_4,goose_south_east_4_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,78,6,5,0.11,3.77856,10.53,100,0.56,goose_south_east_6,goose_south_east_6_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,79,3,10,0.48,12.71808,5.26,249.000000000001,3.12,goose_south_east_3,goose_south_east_3_2016
goose,goose_south_east,51.926522,-128.45317,1.95,569520,2016-06-30,2016,NA,NA,NA,NA,80,7,NA,0.59,NA,10.82,NA,3.07,goose_south_east_7,goose_south_east_7_2016
NA,goose kelp,NA,NA,NA,NA,2016-06-30,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,goose kelp_NA,goose kelp_NA_2016
NA,triquet kelp,NA,NA,NA,NA,2016-07-02,2016,4,30.3,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,triquet kelp_NA,triquet kelp_NA_2016
NA,choked starfish,NA,NA,NA,NA,2016-07-06,2016,4,30.55,12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,choked starfish_NA,choked starfish_NA_2016
NA,wolf,NA,NA,NA,NA,2016-07-06,2016,4,30.6,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,wolf_NA,wolf_NA_2016
NA,maye kelp,NA,NA,NA,NA,2016-07-08,2016,4,27.1,14.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,maye kelp_NA,maye kelp_NA_2016
NA,west beach kelp,NA,NA,NA,NA,2016-07-08,2016,4,30.1,13.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,west beach kelp_NA,west beach kelp_NA_2016
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,162,1,4,0.55,8.09984,2.5,179.999999999998,NA,choked_inner_1,choked_inner_1_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,163,2,5,12.75,6.0032,8.06,929.999999999997,NA,choked_inner_2,choked_inner_2_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,164,3,3,7.03,5.184,5.75,606,NA,choked_inner_3,choked_inner_3_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,165,4,6,5.47,8.84736,10.43,653.999999999995,NA,choked_inner_4,choked_inner_4_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,166,5,5,9.49,8.2816,10.24,1415,NA,choked_inner_5,choked_inner_5_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,167,6,6,7.75,10.2144,10.48,1596,NA,choked_inner_6,choked_inner_6_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,168,7,4,8.69,7.616,3.71,796.000000000001,NA,choked_inner_7,choked_inner_7_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,169,8,4,6.52,6.50048,4.59,804,NA,choked_inner_8,choked_inner_8_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2017-07-04,2017,6,30.53,11.3,8.21,170,9,5,5.85,12.16,9.69,1305,NA,choked_inner_9,choked_inner_9_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,171,1,9,3.18,4.567104,8.84,44.999999999995,10.8,choked_sandspit_1,choked_sandspit_1_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,172,2,6,0.89,8.41344,7.75,192.000000000006,0.21,choked_sandspit_2,choked_sandspit_2_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,173,3,9,3.4,27.343872,18.11,NA,3.12,choked_sandspit_3,choked_sandspit_3_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,174,4,9,2.68,9.566208,9.36,NA,2.5,choked_sandspit_4,choked_sandspit_4_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,175,5,11,10.13,6.397248,12.8,352.00000000001,0.3,choked_sandspit_5,choked_sandspit_5_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,176,6,9,3.39,8.10432,7.59,351.000000000001,NA,choked_sandspit_6,choked_sandspit_6_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,177,7,5,4.93,6.02112,5.54,219.999999999998,0.51,choked_sandspit_7,choked_sandspit_7_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,178,8,5,1.67,4.18176,4.46,200,0.06,choked_sandspit_8,choked_sandspit_8_2017
choked,choked_sandspit,51.678,-128.115,1.06,354580,2017-07-01,2017,7,30.53,11.4,8.23,179,9,16,3.19,25.088,12.42,640.000000000001,0.14,choked_sandspit_9,choked_sandspit_9_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,180,2,5,2.07,0.5952,5.82,680.000000000003,0.83,triquet_north_2,triquet_north_2_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,190,1,2,4.43,1.275904,4.66,464.000000000002,0.19,triquet_north_1,triquet_north_1_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,191,3,7,2.21,7.68768,6.13,167.999999999997,0.17,triquet_north_3,triquet_north_3_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,192,4,2,4.38,1.664,3.12,81.9999999999999,0.12,triquet_north_4,triquet_north_4_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,193,5,6,0.47,11.47392,9.52,149.999999999997,1.62,triquet_north_5,triquet_north_5_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,194,6,3,4.79,2.640384,2.64,53.9999999999941,0.16,triquet_north_6,triquet_north_6_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,195,7,2,0.18,1.6896,4.83,34.0000000000007,0.0900000000000001,triquet_north_7,triquet_north_7_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,196,8,4,9.87,5.71392,4.41,199.999999999996,0.13,triquet_north_8,triquet_north_8_2017
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2017-06-29,2017,6,30.61,12.5,8.2,197,9,4,7.78,4.3904,2.35,259.999999999998,0.14,triquet_north_9,triquet_north_9_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,198,1,11,1.5,13.85472,8.33,494.999999999994,0.98,triquet_south_1,triquet_south_1_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,199,2,11,1.89,8.135424,9.63,329.999999999988,0.75,triquet_south_2,triquet_south_2_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,200,3,12,0,8.70912,5.3,372.000000000012,0.24,triquet_south_3,triquet_south_3_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,201,4,12,8.39,25.2288,NA,2279.99999999999,0.48,triquet_south_4,triquet_south_4_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,202,5,15,0,4.0896,NA,450.000000000017,NA,triquet_south_5,triquet_south_5_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,203,6,16,3.03,30.39232,11.95,3040.00000000002,0.6,triquet_south_6,triquet_south_6_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,204,7,9,4.1,12.7872,6.74,342.000000000002,0.64,triquet_south_7,triquet_south_7_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,205,8,8,-1.89,2.88768,8.34,1023.99999999999,0.63,triquet_south_8,triquet_south_8_2017
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2017-06-29,2017,2,30.33,12.9,8.22,206,9,11,0.0600000000000001,13.21056,6.49,5841.00000000002,0.5,triquet_south_9,triquet_south_9_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,153,1,21,0.27,2.886912,3.48,482.999999999993,0.44,pruth_pocket_1,pruth_pocket_1_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,154,2,15,0.989999999999999,3.42528,1.18,224.999999999975,0.72,pruth_pocket_2,pruth_pocket_2_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,155,3,22,0.26,2.775168,1.74,418.000000000003,0.38,pruth_pocket_3,pruth_pocket_3_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,156,4,19,1.12,4.93696,2.3,94.9999999999895,0.5,pruth_pocket_4,pruth_pocket_4_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,157,5,15,2.22,2.6112,1.75,105.000000000022,0.92,pruth_pocket_5,pruth_pocket_5_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,158,6,22,0.11,4.28032,1.62,43.9999999999952,0.36,pruth_pocket_6,pruth_pocket_6_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,159,7,38,2.01,9.75232,6.55,380.000000000043,2.74,pruth_pocket_7,pruth_pocket_7_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,160,8,23,2.93,12.45312,5.76,321.999999999965,2.02,pruth_pocket_8,pruth_pocket_8_2017
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2017-07-02,2017,6,29.97,10.9,8.4,161,9,22,0.37,2.416128,1.52,285.999999999969,0.17,pruth_pocket_9,pruth_pocket_9_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,181,1,11,0.74,4.7168,4.1,3806.00000000002,0.38,pruth_bay_1,pruth_bay_1_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,182,2,11,0,1.71776,5.11,2255,0.22,pruth_bay_2,pruth_bay_2_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,183,3,17,0.1,2.35008,5.04,3298.00000000001,0.34,pruth_bay_3,pruth_bay_3_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,184,4,19,0,7.0528,6.73,3439,0.19,pruth_bay_4,pruth_bay_4_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,185,5,7,0.14,1.63072,1.28,420,0.07,pruth_bay_5,pruth_bay_5_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,186,6,29,0,6.325248,6.37,5770.99999999994,0.19,pruth_bay_6,pruth_bay_6_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,187,7,9,0,3.5136,3.62,917.999999999999,0.16,pruth_bay_7,pruth_bay_7_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,188,8,11,0,2.34432,3.04,2222,0.27,pruth_bay_8,pruth_bay_8_2017
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2017-07-01,2017,3,29.29,13.2,8.35,189,9,24,-0.01,3.13344,4.68,5087.99999999997,0.2,pruth_bay_9,pruth_bay_9_2017
NA,wolf,NA,NA,NA,NA,2017-07-01,2017,7,30.72,11.2,8.2,NA,NA,NA,NA,NA,NA,NA,NA,wolf_NA,wolf_NA_2017
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,207,1,7,14.3,10.579968,7.86,241,0.33,choked_inner_1,choked_inner_1_2018
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,208,2,7,2.69,19.34464,8.57,247.999999999999,NA,choked_inner_2,choked_inner_2_2018
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,209,3,7,1.11,18.7488,8.5,246.999999999999,0.14,choked_inner_3,choked_inner_3_2018
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,210,4,5,2.41,6.13376,5,125.999999999999,NA,choked_inner_4,choked_inner_4_2018
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,211,5,6,3.47,15.36,13.34,168.000000000001,0.45,choked_inner_5,choked_inner_5_2018
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,212,6,4,1.32,1.22112,6.97,232.999999999999,NA,choked_inner_6,choked_inner_6_2018
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,213,7,7,12.16,8.3496,11.39,281,NA,choked_inner_7,choked_inner_7_2018
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,214,8,11,85.69,49.54752,31.1,287.000000000002,0.66,choked_inner_8,choked_inner_8_2018
choked,choked_inner,51.675,-128.119,4.6,354580,2018-06-27,2018,5,31.84,11.3,8.02,215,9,7,6.34,4.54272,17.34,158,0.54,choked_inner_9,choked_inner_9_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,234,1,7,45.04,15.40224,8.48,114.999999999998,0.74,choked_sandspit_1,choked_sandspit_1_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,235,2,9,5.75,4.390848,14.06,189.999999999999,NA,choked_sandspit_2,choked_sandspit_2_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,236,3,3,11.27,5.8464,1.76,147.999999999999,0.14,choked_sandspit_3,choked_sandspit_3_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,237,4,12,14.22,17.086464,15.58,207.999999999999,0.57,choked_sandspit_4,choked_sandspit_4_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,238,5,15,23.02,19.3536,10.57,229.999999999999,1.98,choked_sandspit_5,choked_sandspit_5_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,239,6,13,12.39,22.66368,16.66,236.000000000001,0.53,choked_sandspit_6,choked_sandspit_6_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,240,7,14,6.83,36.77184,15.4,313.999999999999,1.02,choked_sandspit_7,choked_sandspit_7_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,241,8,5,12.55,11.2752,7.87,226,0.31,choked_sandspit_8,choked_sandspit_8_2018
choked,choked_sandspit,51.678,-128.115,1.06,354580,2018-06-23,2018,4,30.83,12,8.05,242,9,13,9.25,24.9912,11.63,204,0.49,choked_sandspit_9,choked_sandspit_9_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,252,1,5,0.0599999999999998,1.2736,5.97,162,0.84,triquet_north_1,triquet_north_1_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,253,2,4,5.58,4.6816,4.35,139,NA,triquet_north_2,triquet_north_2_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,254,3,3,0.36,8.0928,2.64,245.000000000002,0.16,triquet_north_3,triquet_north_3_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,255,4,6,0,16.5312,6.25,189.999999999999,0.71,triquet_north_4,triquet_north_4_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,256,5,6,0.45,4.24704,5.26,175.000000000001,NA,triquet_north_5,triquet_north_5_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,257,6,5,0.2,12.68352,7.86,203,0.59,triquet_north_6,triquet_north_6_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,258,7,2,2.61,0.8768,3.89,146.999999999999,0.14,triquet_north_7,triquet_north_7_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,259,8,5,2.66,11.52,3.02,53.0000000000008,NA,triquet_north_8,triquet_north_8_2018
triquet,triquet_north,51.808875,-128.247457,3.46,8900,2018-07-01,2018,7,30.78,13.3,8.14,260,9,4,0,6.0192,3.42,94.0000000000008,NA,triquet_north_9,triquet_north_9_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,243,1,7,3.56,13.97088,13.1,184,NA,triquet_south_1,triquet_south_1_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,244,2,7,8.56,8.034432,8.59,152.000000000001,0.64,triquet_south_2,triquet_south_2_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,245,3,9,15.44,11.13696,10.85,89.0000000000013,0.34,triquet_south_3,triquet_south_3_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,246,4,10,11.51,10.24,12.9,180,0.86,triquet_south_4,triquet_south_4_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,247,5,10,5.29,17.0208,12.43,78.0000000000003,NA,triquet_south_5,triquet_south_5_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,248,6,10,5.12,3.9872,11.67,70.0000000000012,0.93,triquet_south_6,triquet_south_6_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,249,7,16,0.59,7.04,12.76,162,1.06,triquet_south_7,triquet_south_7_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,250,8,14,0.970000000000001,23.54688,16.95,174.000000000001,NA,triquet_south_8,triquet_south_8_2018
triquet,triquet_south,51.80869,-128.235858,0.33,31074,2018-07-01,2018,2,30.53,13.7,8.18,251,9,7,2.18,3.33312,5.94,204,NA,triquet_south_9,triquet_south_9_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,225,1,26,0.98,7.614464,5.21,194.000000000001,2.34,pruth_pocket_1,pruth_pocket_1_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,226,2,6,2.12,4.589568,2.82,189.999999999999,0.82,pruth_pocket_2,pruth_pocket_2_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,227,3,10,0.73,5.72,2.28,188.999999999999,0.47,pruth_pocket_3,pruth_pocket_3_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,228,4,21,0,12.7008,10.2,202,0.93,pruth_pocket_4,pruth_pocket_4_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,229,5,12,0.76,2.23488,2.98,205,0.24,pruth_pocket_5,pruth_pocket_5_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,230,6,34,0,7.05024,4.31,172.000000000001,0.47,pruth_pocket_6,pruth_pocket_6_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,231,7,25,6.6,24.048,12.19,200,NA,pruth_pocket_7,pruth_pocket_7_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,232,8,15,0.62,3.6864,3.32,206,1.26,pruth_pocket_8,pruth_pocket_8_2018
pruth,pruth_pocket,51.395,-128.069,1,2943.5,2018-06-28,2018,4,29.8,13.5,8.15,233,9,65,3.45,25.55904,6.23,178.999999999998,1.14,pruth_pocket_9,pruth_pocket_9_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,216,1,26,0.58,21.5904,5.39,59.0000000000002,0.69,pruth_bay_1,pruth_bay_1_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,217,2,9,0.0700000000000001,1.907712,2.6,144.000000000002,0.61,pruth_bay_2,pruth_bay_2_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,218,3,7,0.0600000000000001,6.47136,1.01,168.999999999999,0.0800000000000001,pruth_bay_3,pruth_bay_3_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,219,4,26,0,4.40544,5.02,208.000000000002,0.52,pruth_bay_4,pruth_bay_4_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,220,5,4,0,0.88064,6.72,169.000000000001,NA,pruth_bay_5,pruth_bay_5_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,221,6,16,0,4.939776,4.02,316.000000000001,-2,pruth_bay_6,pruth_bay_6_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,222,7,20,0.0799999999999998,5.8624,8.11,87.0000000000015,0.82,pruth_bay_7,pruth_bay_7_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,223,8,14,0.59,4.7936,3.69,285.000000000002,0.39,pruth_bay_8,pruth_bay_8_2018
pruth,pruth_bay,51.388,-128.071,-0.55,34982,2018-06-22,2018,2.5,29.4,12,8.21,224,9,36,0.4,10.43712,7.36,24.9999999999995,1.19,pruth_bay_9,pruth_bay_9_2018
