SampleID,ZosCSPoldC,ZosCIoldA18,ZosCIoldB18,ZosCIoldC18,ZosCIoldD18,ZosCIoldF18,ZosCSSoldC16,ZosCSSoldF16,ZosCSSoldD16,ZosCSSoldB16,ZosCSSoldA16,ZosCSSoldG16,ZosCSSoldC18,ZosCSSoldD18,ZosCSSoldF18,ZosGSEoldE,ZosGSEoldF,ZosGSEoldC,ZosGSEoldB,ZosGSEoldD16,ZosGSEoldF16,ZosGSEoldE16,ZosGSEoldA16,ZosGSEoldH16,ZosGSWoldB,ZosGSWoldC,ZosGSWoldF,ZosGSWoldE,ZosGSWoldF16,ZosGSWoldD16,ZosGSWoldA16,ZosGSWoldB16,ZosGSWoldG16,ZosGSWoldC16,ZosGSWoldE16,ZosGSWoldH16,ZosMcNoldA,ZosMcNoldB,ZosMcNoldC,ZosMcNoldD,ZosMcSoldA,ZosMcSoldB,ZosMcSoldC,ZosMcSoldD,ZosMcSoldE,ZosMcSoldF,ZosPBSoldA16,ZosPBSoldB16,ZosPBSoldC16,ZosPBSoldD16,ZosPBSoldG16,ZosPBSoldF16,ZosPBSoldH16,ZosPBSoldE16,ZosPBPoldH16,ZosPBPoldB16,ZosPBPoldG16,ZosPBPoldE16,ZosPBPoldC16,ZosPBPoldA17,ZosPBPoldA18,ZosPBPoldB18,ZosPBPoldC18,ZosPBPoldD18,ZosPBPoldE18,ZosPBPoldF18,ZosTQNoldF,ZosTQNoldD,ZosTQNoldE,ZosTQNoldC,ZosTQNoldB,ZosTQNoldG16,ZosTQNoldH16,ZosTQNoldF16,ZosTQNoldB16,ZosTQNoldE16,ZosTQNoldA16,ZosTQNoldB17,ZosTQNoldD17,ZosTQNoldA18,ZosTQNoldB18,ZosTQNoldC18,ZosTQNoldD18,ZosTQNoldE18,ZosTQNoldF18,ZosTQSoldB,ZosTQSoldG16,ZosTQSoldA16,ZosTQSoldH16,ZosTQSoldB16,ZosTQSoldE16,ZosTQSoldF16,ZosTQSoldC16,ZosTQSoldD16,ZosTQSoldA18,ZosTQSoldB18,ZosTQSoldC18,ZosTQSoldD18,ZosTQSoldE18,ZosTQSoldF18
ZosMcNoldD,48759,48759,48759,48759,48759,48759,49287,49287,49287,49287,49287,49287,49287,49287,49287,16098,16098,16098,16098,16098,16098,16098,16098,16098,16972,16972,16972,16972,16972,16972,16972,16972,16972,16972,16972,16972,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosMcSoldA,49974,49974,49974,49974,49974,49974,50510,50510,50510,50510,50510,50510,50510,50510,50510,17038,17038,17038,17038,17038,17038,17038,17038,17038,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosMcSoldB,49974,49974,49974,49974,49974,49974,50510,50510,50510,50510,50510,50510,50510,50510,50510,17038,17038,17038,17038,17038,17038,17038,17038,17038,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosMcSoldC,49974,49974,49974,49974,49974,49974,50510,50510,50510,50510,50510,50510,50510,50510,50510,17038,17038,17038,17038,17038,17038,17038,17038,17038,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosMcSoldD,49974,49974,49974,49974,49974,49974,50510,50510,50510,50510,50510,50510,50510,50510,50510,17038,17038,17038,17038,17038,17038,17038,17038,17038,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosMcSoldE,49974,49974,49974,49974,49974,49974,50510,50510,50510,50510,50510,50510,50510,50510,50510,17038,17038,17038,17038,17038,17038,17038,17038,17038,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosMcSoldF,49974,49974,49974,49974,49974,49974,50510,50510,50510,50510,50510,50510,50510,50510,50510,17038,17038,17038,17038,17038,17038,17038,17038,17038,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,17900,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldA16,9780,9780,9780,9780,9780,9780,9378,9378,9378,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,56216,56216,56216,56216,54986,54986,54986,54986,54986,54986,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldB16,9780,9780,9780,9780,9780,9780,9378,9378,9378,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,56216,56216,56216,56216,54986,54986,54986,54986,54986,54986,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldC16,9780,9780,9780,9780,9780,9780,9378,9378,9378,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,56216,56216,56216,56216,54986,54986,54986,54986,54986,54986,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldD16,9780,9780,9780,9780,9780,9780,9378,9378,9378,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,56216,56216,56216,56216,54986,54986,54986,54986,54986,54986,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldG16,9780,9780,9780,9780,9780,9780,9378,9378,9378,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,56216,56216,56216,56216,54986,54986,54986,54986,54986,54986,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldF16,9780,9780,9780,9780,9780,9780,9378,9378,9378,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,56216,56216,56216,56216,54986,54986,54986,54986,54986,54986,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldH16,9780,9780,9780,9780,9780,9780,9378,9378,9378,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,56216,56216,56216,56216,54986,54986,54986,54986,54986,54986,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBSoldE16,9780,9780,9780,9780,9780,9780,9378,9378,9378,9378,9378,9378,9378,9378,9378,46040,46040,46040,46040,46040,46040,46040,46040,46040,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,45650,56216,56216,56216,56216,54986,54986,54986,54986,54986,54986,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldH16,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldB16,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldG16,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldE16,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldC16,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldA17,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldA18,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldB18,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldC18,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldD18,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldE18,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosPBPoldF18,9896,9896,9896,9896,9896,9896,9514,9514,9514,9514,9514,9514,9514,9514,9514,45935,45935,45935,45935,45935,45935,45935,45935,45935,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,45790,56352,56352,56352,56352,55157,55157,55157,55157,55157,55157,1814,1814,1814,1814,1814,1814,1814,1814,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldF,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldD,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldE,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldC,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldB,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldG16,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldH16,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldF16,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldB16,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldE16,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldA16,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldB17,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldD17,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldA18,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZosTQNoldB18,19207,19207,19207,19207,19207,19207,19704,19704,19704,19704,19704,19704,19704,19704,19704,21197,21197,21197,21197,21197,21197,21197,21197,21197,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,30495,30495,30495,30495,31755,31755,31755,31755,31755,31755,25249,25249,25249,25249,25249,25249,25249,25249,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,25352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
