"site_quadrat_id","SampleID","year","region","site","quadrat_id","meso_shoot_id","Thiohalorhabdaceae","Microtrichaceae","Verrucomicrobiales_DEV007","Thiotrichaceae","Micavibrionales_uncultured","Cellvibrionaceae","Arenicellaceae","Bdellovibrionaceae","Chitinophagales_uncultured","Spirosomaceae","Gammaproteobacteria_KI89A_clade","Gracilibacteria_JGI_0000069-P22","Midichloriaceae","Phormidesmiaceae","Gracilibacteria_uncultured","Absconditabacteriales_(SR1)","Micavibrionaceae","Simkaniaceae","Chitinophagaceae","Rubinisphaeraceae","Trueperaceae","Schleiferiaceae","Methylophagaceae","ASV945","ASV1254","ASV470","ASV1018","ASV39","ASV1074","ASV1503","ASV108","ASV119","Methylophilaceae"
"choked_sandspit_5","ZosCSSoldE18",2018,"choked","choked_sandspit","5","na",296,200,27,297,1,6,193,7,11,0,3,7,4,0,8,29,0,0,2,6,26,4,0,3,0,2,0,0,0,0,13,7,63
"choked_sandspit_4","ZosCSSoldD18",2018,"choked","choked_sandspit","4","na",200,164,103,320,6,16,65,11,5,2,0,6,0,0,14,21,2,0,0,1,10,3,0,0,2,0,0,0,0,62,6,0,11
"choked_sandspit_3","ZosCSSoldC18",2018,"choked","choked_sandspit","3","na",151,11,17,22,0,31,14,3,1,0,0,0,0,0,0,2,0,0,2,1,11,0,135,0,0,36,0,24,0,0,7,27,391
"choked_sandspit_2","ZosCSSoldB18",2018,"choked","choked_sandspit","2","na",635,94,181,171,0,323,51,15,9,0,3,110,0,0,3,25,0,0,0,8,45,4,0,0,0,0,0,4,0,0,16,10,36
"choked_sandspit_1","ZosCSSoldA18",2018,"choked","choked_sandspit","1","na",217,152,37,312,5,33,226,4,10,0,0,17,10,0,19,14,2,0,0,3,16,14,5,0,0,0,0,0,0,0,8,10,25
"pruth_bay_6","ZosPBSoldF18",2018,"pruth","pruth_bay","6","na",547,54,0,0,0,16,11,13,6,9,0,0,0,2,0,0,9,0,0,0,0,0,0,0,15,4,0,0,0,60,6,0,502
"pruth_bay_5","ZosPBSoldE18",2018,"pruth","pruth_bay","5","na",303,47,0,0,3,59,3,15,10,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1200
"pruth_bay_3","ZosPBSoldC18",2018,"pruth","pruth_bay","3","na",193,11,0,0,1,2,6,13,0,8,0,0,0,0,5,0,1,0,0,0,0,0,26,0,0,0,3,0,2,4,0,0,1103
"pruth_bay_2","ZosPBSoldB18",2018,"pruth","pruth_bay","2","na",457,51,0,0,6,43,9,4,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,6,0,0,0,0,44,0,0,903
"pruth_bay_1","ZosPBSoldA18",2018,"pruth","pruth_bay","1","na",599,86,3,5,7,138,16,14,4,9,0,0,0,0,7,0,27,0,0,1,0,0,0,0,0,0,0,0,5,5,0,0,863
"pruth_pocket_6","ZosPBPoldF18",2018,"pruth","pruth_pocket","6","na",583,16,2,18,7,38,5,13,19,79,0,2,0,0,20,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,6,192
"pruth_pocket_5","ZosPBPoldE18",2018,"pruth","pruth_pocket","5","na",517,7,6,3,6,8,1,23,0,51,0,15,0,0,2,3,0,0,1,0,0,2,9,0,0,19,0,0,1,0,5,1,919
"pruth_pocket_4","ZosPBPoldD18",2018,"pruth","pruth_pocket","4","na",97,8,8,3,2,2,2,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,10,0,0,13,0,3,1,1,2,1,279
"pruth_pocket_3","ZosPBPoldC18",2018,"pruth","pruth_pocket","3","na",1855,84,3,0,6,3,3,8,5,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100
"pruth_pocket_2","ZosPBPoldB18",2018,"pruth","pruth_pocket","2","na",353,183,82,14,13,14,0,4,4,10,0,2,0,5,8,0,5,0,1,0,0,2,0,0,14,0,0,0,0,11,0,0,159
"pruth_pocket_1","ZosPBPoldA18",2018,"pruth","pruth_pocket","1","na",164,27,41,3,7,10,11,8,18,26,0,4,0,2,34,1,6,0,1,0,0,12,0,0,7,0,4,3,0,6,2,0,552
"triquet_north_6","ZosTQNoldF18",2018,"triquet","triquet_north","6","na",274,46,6,51,9,0,0,0,0,0,3,1,0,1,0,10,0,5,0,0,2,1,0,0,0,1,0,0,21,0,0,0,246
"triquet_north_5","ZosTQNoldE18",2018,"triquet","triquet_north","5","na",70,117,18,30,1,22,0,0,27,0,5,7,1,0,24,10,3,2,1,0,0,2,5,0,0,0,6,0,0,0,8,26,911
"triquet_north_4","ZosTQNoldD18",2018,"triquet","triquet_north","4","na",48,158,29,44,12,1,1,8,0,2,3,2,0,2,19,6,0,104,0,0,2,17,0,0,0,0,7,0,0,0,1,12,30
"triquet_north_3","ZosTQNoldC18",2018,"triquet","triquet_north","3","na",73,6,7,28,0,0,2,0,5,0,0,1,0,0,1,6,0,5,0,0,0,0,4,0,0,0,0,0,6,0,0,1,1324
"triquet_north_2","ZosTQNoldB18",2018,"triquet","triquet_north","2","na",327,537,95,91,2,29,8,3,44,1,15,2,6,7,3,7,0,17,6,0,6,23,9,7,0,0,0,0,0,0,37,4,118
"triquet_north_1","ZosTQNoldA18",2018,"triquet","triquet_north","1","na",584,34,126,79,0,3,0,18,0,0,0,0,0,0,0,14,0,36,0,2,0,7,0,0,0,0,0,0,2,0,0,0,323
"triquet_south_6","ZosTQSoldF18",2018,"triquet","triquet_south","6","na",1169,615,72,21,0,40,5,23,3,9,3,0,11,1,1,0,2,0,4,0,1,2,0,5,0,0,0,0,0,0,41,0,60
"triquet_south_5","ZosTQSoldE18",2018,"triquet","triquet_south","5","na",749,521,77,23,0,54,0,68,1,17,32,0,21,0,0,0,11,0,5,2,2,6,3,9,5,0,0,0,0,5,70,0,170
"triquet_south_4","ZosTQSoldD18",2018,"triquet","triquet_south","4","na",33,17,3,7,0,1,2,7,2,1,1,12,0,0,8,1,0,0,0,0,0,0,7,0,0,0,0,0,21,0,42,4,941
"triquet_south_3","ZosTQSoldC18",2018,"triquet","triquet_south","3","na",290,321,51,141,11,41,0,9,1,14,5,0,6,0,1,0,4,2,4,0,0,3,0,4,3,0,1,0,0,5,141,0,172
"triquet_south_2","ZosTQSoldB18",2018,"triquet","triquet_south","2","na",929,456,58,20,1,71,5,34,1,7,3,0,4,1,0,0,1,6,0,4,3,9,8,4,0,0,0,0,0,0,64,2,79
"triquet_south_1","ZosTQSoldA18",2018,"triquet","triquet_south","1","na",533,451,89,23,10,19,8,6,1,22,2,0,13,0,2,2,5,6,3,0,0,2,4,3,0,0,0,0,0,0,151,1,115
